assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_018303895.1_ASM1830389v1_genomic	NA	46	45	60.53	1.32	44	Yes
GCA_018303925.1_ASM1830392v1_genomic	NA	50	49	65.79	1.32	47	Yes
GCA_018303945.1_ASM1830394v1_genomic	NA	46	46	60.53	0.00	44	Yes
GCA_018303985.1_ASM1830398v1_genomic	NA	43	42	56.58	1.32	39	Yes
GCA_018303995.1_ASM1830399v1_genomic	NA	44	44	57.89	0.00	37	Yes
GCA_018304025.1_ASM1830402v1_genomic	NA	48	48	63.16	0.00	47	Yes
GCA_018304045.1_ASM1830404v1_genomic	NA	48	48	63.16	0.00	43	Yes
GCA_018304055.1_ASM1830405v1_genomic	NA	45	42	59.21	3.95	37	Yes
GCA_018304085.1_ASM1830408v1_genomic	NA	43	43	56.58	0.00	39	Yes
GCA_018304105.1_ASM1830410v1_genomic	NA	49	49	64.47	0.00	44	Yes
GCA_018304115.1_ASM1830411v1_genomic	NA	36	35	47.37	1.32	30	Yes
GCA_018304145.1_ASM1830414v1_genomic	NA	48	48	63.16	0.00	41	Yes
GCA_018304165.1_ASM1830416v1_genomic	NA	41	40	53.95	1.32	38	Yes
GCA_018304175.1_ASM1830417v1_genomic	NA	45	45	59.21	0.00	41	Yes
GCA_018304205.1_ASM1830420v1_genomic	NA	40	40	52.63	0.00	39	Yes
GCA_018304225.1_ASM1830422v1_genomic	NA	48	46	63.16	2.63	44	Yes
GCA_018304245.1_ASM1830424v1_genomic	NA	48	47	63.16	1.32	43	Yes
GCA_018304255.1_ASM1830425v1_genomic	NA	39	33	51.32	7.89	35	Yes
GCA_018304325.1_ASM1830432v1_genomic	NA	42	42	55.26	0.00	41	Yes
GCA_018304985.1_ASM1830498v1_genomic	NA	45	45	59.21	0.00	42	Yes
GCA_018812225.1_ASM1881222v1_genomic	NA	37	37	48.68	0.00	32	Yes
GCA_018812355.1_ASM1881235v1_genomic	NA	61	59	80.26	2.63	50	Yes
GCA_018812465.1_ASM1881246v1_genomic	NA	59	57	77.63	2.63	49	Yes
GCA_018812505.1_ASM1881250v1_genomic	NA	54	50	71.05	5.26	49	Yes
GCA_018813725.1_ASM1881372v1_genomic	NA	61	58	80.26	3.95	55	Yes
GCA_018815145.1_ASM1881514v1_genomic	NA	62	57	81.58	6.58	56	Yes
GCA_018815925.1_ASM1881592v1_genomic	NA	51	49	67.11	2.63	48	Yes
GCA_018816335.1_ASM1881633v1_genomic	NA	50	49	65.79	1.32	44	Yes
GCA_018816395.1_ASM1881639v1_genomic	NA	40	39	52.63	1.32	37	Yes
GCA_018816625.1_ASM1881662v1_genomic	NA	45	43	59.21	2.63	39	Yes
GCA_018816705.1_ASM1881670v1_genomic	NA	63	62	82.89	1.32	55	Yes
GCA_018816725.1_ASM1881672v1_genomic	NA	67	64	88.16	3.95	58	Yes
GCA_018816835.1_ASM1881683v1_genomic	NA	41	40	53.95	1.32	36	Yes
GCA_018817005.1_ASM1881700v1_genomic	NA	56	53	73.68	5.26	52	Yes
GCA_018817405.1_ASM1881740v1_genomic	NA	46	46	60.53	0.00	43	Yes
GCA_018817905.1_ASM1881790v1_genomic	NA	46	46	60.53	0.00	44	Yes
GCA_018818025.1_ASM1881802v1_genomic	NA	45	44	59.21	1.32	40	Yes
GCA_018818075.1_ASM1881807v1_genomic	NA	40	39	52.63	1.32	36	Yes
GCA_018818285.1_ASM1881828v1_genomic	NA	46	44	60.53	2.63	44	Yes
GCA_018819065.1_ASM1881906v1_genomic	NA	62	58	81.58	5.26	57	Yes
GCA_018819305.1_ASM1881930v1_genomic	NA	58	55	76.32	3.95	48	Yes
GCA_018819345.1_ASM1881934v1_genomic	NA	54	53	71.05	1.32	48	Yes
GCA_018819375.1_ASM1881937v1_genomic	NA	50	50	65.79	0.00	42	Yes
GCA_018819745.1_ASM1881974v1_genomic	NA	46	46	60.53	0.00	39	Yes
GCA_018824365.1_ASM1882436v1_genomic	NA	60	58	78.95	2.63	54	Yes
GCA_018825165.1_ASM1882516v1_genomic	NA	57	54	75.00	3.95	48	Yes
GCA_018825425.1_ASM1882542v1_genomic	NA	45	41	59.21	5.26	42	Yes
GCA_018825705.1_ASM1882570v1_genomic	NA	44	41	57.89	3.95	34	Yes
GCA_018825865.1_ASM1882586v1_genomic	NA	45	44	59.21	1.32	36	Yes
GCA_018829185.1_ASM1882918v1_genomic	NA	58	55	76.32	3.95	56	Yes
GCA_018829425.1_ASM1882942v1_genomic	NA	40	40	52.63	0.00	35	Yes
GCA_018829485.1_ASM1882948v1_genomic	NA	47	46	61.84	1.32	39	Yes
GCA_018829845.1_ASM1882984v1_genomic	NA	53	52	69.74	1.32	46	Yes
GCA_018830225.1_ASM1883022v1_genomic	NA	56	54	73.68	3.95	48	Yes
GCA_018830245.1_ASM1883024v1_genomic	NA	46	45	60.53	1.32	42	Yes
GCA_018830525.1_ASM1883052v1_genomic	NA	48	47	63.16	1.32	42	Yes
GCA_018830685.1_ASM1883068v1_genomic	NA	43	43	56.58	0.00	38	Yes
GCA_018830825.1_ASM1883082v1_genomic	NA	36	33	47.37	3.95	34	Yes
GCA_018830845.1_ASM1883084v1_genomic	NA	44	43	57.89	1.32	41	Yes
GCA_018830905.1_ASM1883090v1_genomic	NA	44	43	57.89	1.32	40	Yes
GCA_018830945.1_ASM1883094v1_genomic	NA	57	55	75.00	2.63	52	Yes
GCA_018831025.1_ASM1883102v1_genomic	NA	52	52	68.42	0.00	47	Yes
GCA_018894675.1_ASM1889467v1_genomic	NA	51	49	67.11	2.63	43	Yes
GCA_018896675.1_ASM1889667v1_genomic	NA	58	57	76.32	1.32	56	Yes
GCA_018897135.1_ASM1889713v1_genomic	NA	44	43	57.89	1.32	36	Yes
GCA_018897235.1_ASM1889723v1_genomic	NA	58	56	76.32	2.63	52	Yes
GCA_018898425.1_ASM1889842v1_genomic	NA	45	44	59.21	1.32	40	Yes
GCA_018900535.1_ASM1890053v1_genomic	NA	41	38	53.95	3.95	29	Yes
GCA_018901245.1_ASM1890124v1_genomic	NA	58	53	76.32	6.58	56	Yes
GCA_018901315.1_ASM1890131v1_genomic	NA	55	51	72.37	5.26	47	Yes
GCA_018901375.1_ASM1890137v1_genomic	NA	34	34	44.74	0.00	29	Yes
GCA_018901625.1_ASM1890162v1_genomic	NA	49	47	64.47	2.63	43	Yes
GCA_018901655.1_ASM1890165v1_genomic	NA	50	50	65.79	0.00	44	Yes
GCA_018901675.1_ASM1890167v1_genomic	NA	40	39	52.63	1.32	36	Yes
GCA_019659125.1_ASM1965912v1_genomic	NA	47	46	61.84	1.32	44	Yes
GCA_019662115.1_ASM1966211v1_genomic	NA	46	45	60.53	1.32	43	Yes
GCA_020053375.1_ASM2005337v1_genomic	NA	43	42	56.58	1.32	40	Yes
GCA_020056045.1_ASM2005604v1_genomic	NA	46	43	60.53	3.95	40	Yes
GCA_020430385.1_ASM2043038v1_genomic	NA	49	46	64.47	3.95	43	Yes
GCA_020430405.1_ASM2043040v1_genomic	NA	56	55	73.68	1.32	52	Yes
GCA_020430425.1_ASM2043042v1_genomic	NA	53	51	69.74	2.63	50	Yes
GCA_020430455.1_ASM2043045v1_genomic	NA	58	57	76.32	1.32	50	Yes
GCA_020430475.1_ASM2043047v1_genomic	NA	33	33	43.42	0.00	26	Yes
GCA_020430505.1_ASM2043050v1_genomic	NA	49	49	64.47	0.00	46	Yes
GCA_020697515.1_ASM2069751v1_genomic	NA	47	47	61.84	0.00	44	Yes
GCA_020718025.1_ASM2071802v1_genomic	NA	73	70	96.05	3.95	63	Yes
GCA_020723115.1_ASM2072311v1_genomic	NA	39	39	51.32	0.00	29	Yes
GCA_021160605.1_ASM2116060v1_genomic	NA	38	38	50.00	0.00	33	Yes
GCA_021162365.1_ASM2116236v1_genomic	NA	57	56	75.00	1.32	54	Yes
GCA_021163365.1_ASM2116336v1_genomic	NA	59	56	77.63	3.95	55	Yes
GCA_021735625.1_ASM2173562v1_genomic	NA	35	34	46.05	1.32	30	Yes
GCA_021781015.1_ASM2178101v1_genomic	NA	39	38	51.32	1.32	36	Yes
GCA_021791655.1_ASM2179165v1_genomic	NA	62	59	81.58	3.95	56	Yes
GCA_021794235.1_ASM2179423v1_genomic	NA	54	53	71.05	1.32	50	Yes
GCA_021796445.1_ASM2179644v1_genomic	NA	56	50	73.68	7.89	51	Yes
GCA_021797085.1_ASM2179708v1_genomic	NA	61	59	80.26	2.63	57	Yes
GCA_021797325.1_ASM2179732v1_genomic	NA	60	59	78.95	1.32	55	Yes
GCA_021798035.1_ASM2179803v1_genomic	NA	47	44	61.84	3.95	45	Yes
GCA_021798355.1_ASM2179835v1_genomic	NA	54	54	71.05	0.00	51	Yes
GCA_021799085.1_ASM2179908v1_genomic	NA	62	59	81.58	3.95	57	Yes
GCA_021799375.1_ASM2179937v1_genomic	NA	62	60	81.58	2.63	57	Yes
GCA_021799535.1_ASM2179953v1_genomic	NA	48	46	63.16	2.63	45	Yes
GCA_021800365.1_ASM2180036v1_genomic	NA	62	61	81.58	1.32	57	Yes
GCA_021802005.1_ASM2180200v1_genomic	NA	32	27	42.11	6.58	31	Yes
GCA_021802105.1_ASM2180210v1_genomic	NA	58	57	76.32	1.32	54	Yes
GCA_021802505.1_ASM2180250v1_genomic	NA	54	52	71.05	2.63	49	Yes
GCA_021804015.1_ASM2180401v1_genomic	NA	42	40	55.26	2.63	37	Yes
GCA_021807085.1_ASM2180708v1_genomic	NA	61	60	80.26	1.32	57	Yes
GCA_021807125.1_ASM2180712v1_genomic	NA	48	46	63.16	2.63	44	Yes
GCA_021809675.1_ASM2180967v1_genomic	NA	55	54	72.37	1.32	49	Yes
GCA_021810345.1_ASM2181034v1_genomic	NA	60	58	78.95	2.63	55	Yes
GCA_021811735.1_ASM2181173v1_genomic	NA	59	58	77.63	1.32	53	Yes
GCA_021813435.1_ASM2181343v1_genomic	NA	58	56	76.32	2.63	52	Yes
GCA_021817165.1_ASM2181716v1_genomic	NA	63	61	82.89	2.63	58	Yes
GCA_021818475.1_ASM2181847v1_genomic	NA	48	47	63.16	1.32	45	Yes
GCA_021818665.1_ASM2181866v1_genomic	NA	62	61	81.58	1.32	54	Yes
GCA_021818905.1_ASM2181890v1_genomic	NA	61	59	80.26	2.63	56	Yes
GCA_021825165.1_ASM2182516v1_genomic	NA	32	31	42.11	1.32	28	Yes
GCA_021827565.1_ASM2182756v1_genomic	NA	59	58	77.63	1.32	54	Yes
GCA_021829785.1_ASM2182978v1_genomic	NA	60	58	78.95	2.63	53	Yes
GCA_021832485.1_ASM2183248v1_genomic	NA	51	51	67.11	0.00	47	Yes
GCA_021834755.1_ASM2183475v1_genomic	NA	33	28	43.42	6.58	29	Yes
GCA_021834945.1_ASM2183494v1_genomic	NA	49	45	64.47	5.26	44	Yes
GCA_021835645.1_ASM2183564v1_genomic	NA	37	34	48.68	3.95	31	Yes
GCA_021845405.1_ASM2184540v1_genomic	NA	55	40	72.37	19.74	52	Yes
GCA_021846665.1_ASM2184666v1_genomic	NA	62	60	81.58	2.63	57	Yes
GCA_021850635.1_ASM2185063v1_genomic	NA	59	57	77.63	2.63	55	Yes
GCA_021851145.1_ASM2185114v1_genomic	NA	50	47	65.79	3.95	45	Yes
GCA_021852135.1_ASM2185213v1_genomic	NA	45	42	59.21	3.95	43	Yes
GCA_021852265.1_ASM2185226v1_genomic	NA	62	60	81.58	2.63	58	Yes
GCA_022013305.1_ASM2201330v1_genomic	NA	53	50	69.74	5.26	48	Yes
GCA_022013775.1_ASM2201377v1_genomic	NA	73	72	96.05	1.32	61	Yes
GCA_022014835.1_ASM2201483v1_genomic	NA	57	56	75.00	1.32	54	Yes
GCA_022561055.1_ASM2256105v1_genomic	NA	46	45	60.53	2.63	44	Yes
GCA_022563455.1_ASM2256345v1_genomic	NA	50	49	65.79	1.32	41	Yes
GCA_022564635.1_ASM2256463v1_genomic	NA	60	57	78.95	3.95	53	Yes
GCA_022565235.1_ASM2256523v1_genomic	NA	48	47	63.16	1.32	39	Yes
GCA_022565615.1_ASM2256561v1_genomic	NA	57	56	75.00	1.32	53	Yes
GCA_022568055.1_ASM2256805v1_genomic	NA	43	37	56.58	7.89	34	Yes
GCA_022571965.1_ASM2257196v1_genomic	NA	40	37	52.63	3.95	35	Yes
GCA_022572525.1_ASM2257252v1_genomic	NA	45	45	59.21	0.00	38	Yes
GCA_022573465.1_ASM2257346v1_genomic	NA	43	34	56.58	11.84	38	Yes
GCA_022703705.1_ASM2270370v1_genomic	NA	48	47	63.16	1.32	46	Yes
GCA_022709085.1_ASM2270908v1_genomic	NA	48	48	63.16	0.00	42	Yes
GCA_022709585.1_ASM2270958v1_genomic	NA	50	50	65.79	0.00	44	Yes
GCA_023131275.1_ASM2313127v1_genomic	NA	44	44	57.89	0.00	31	Yes
GCA_023132255.1_ASM2313225v1_genomic	NA	39	39	51.32	0.00	35	Yes
GCA_023133375.1_ASM2313337v1_genomic	NA	44	43	57.89	1.32	38	Yes
GCA_023133415.1_ASM2313341v1_genomic	NA	49	48	64.47	1.32	45	Yes
GCA_023136775.1_ASM2313677v1_genomic	NA	49	48	64.47	1.32	43	Yes
GCA_023137045.1_ASM2313704v1_genomic	NA	45	44	59.21	1.32	44	Yes
GCA_023139205.1_ASM2313920v1_genomic	NA	49	47	64.47	2.63	44	Yes
GCA_023140635.1_ASM2314063v1_genomic	NA	46	45	60.53	1.32	42	Yes
GCA_023142835.1_ASM2314283v1_genomic	NA	49	48	64.47	1.32	42	Yes
GCA_023143585.1_ASM2314358v1_genomic	NA	37	26	48.68	27.63	28	Yes
GCA_023144035.1_ASM2314403v1_genomic	NA	49	47	64.47	2.63	43	Yes
GCA_023228065.1_ASM2322806v1_genomic	NA	48	43	63.16	11.84	43	Yes
GCA_023228245.1_ASM2322824v1_genomic	NA	51	48	67.11	5.26	45	Yes
GCA_023252215.1_ASM2325221v1_genomic	NA	71	69	93.42	2.63	62	Yes
GCA_023475035.1_ASM2347503v1_genomic	NA	41	40	53.95	1.32	39	Yes
GCA_023484345.1_ASM2348434v1_genomic	NA	31	28	40.79	3.95	24	Yes
GCA_023511755.1_ASM2351175v1_genomic	NA	47	45	61.84	2.63	43	Yes
GCA_025058615.1_ASM2505861v1_genomic	NA	51	50	67.11	1.32	49	Yes
GCA_026002795.1_ASM2600279v1_genomic	NA	47	47	61.84	0.00	44	Yes
GCA_026016245.1_ASM2601624v1_genomic	NA	53	52	69.74	1.32	51	Yes
GCA_026196215.1_ASM2619621v1_genomic	NA	46	46	60.53	0.00	41	Yes
GCA_026395775.1_ASM2639577v1_genomic	NA	45	44	59.21	1.32	39	Yes
GCA_026395795.1_ASM2639579v1_genomic	NA	53	52	69.74	1.32	50	Yes
GCA_026395815.1_ASM2639581v1_genomic	NA	50	49	65.79	1.32	45	Yes
GCA_026395835.1_ASM2639583v1_genomic	NA	39	37	51.32	2.63	32	Yes
GCA_026395855.1_ASM2639585v1_genomic	NA	45	43	59.21	2.63	39	Yes
GCA_026413745.1_ASM2641374v1_genomic	NA	45	39	59.21	7.89	41	Yes
GCA_026414385.1_ASM2641438v1_genomic	NA	48	48	63.16	0.00	46	Yes
GCA_027021195.1_ASM2702119v1_genomic	NA	48	47	63.16	1.32	44	Yes
GCA_027036435.1_ASM2703643v1_genomic	NA	47	43	61.84	5.26	41	Yes
GCA_027101555.1_ASM2710155v1_genomic	NA	40	37	52.63	3.95	35	Yes
GCA_028275775.1_ASM2827577v1_genomic	NA	53	52	69.74	1.32	49	Yes
GCA_028275885.1_ASM2827588v1_genomic	NA	56	55	73.68	1.32	53	Yes
GCA_028276585.1_ASM2827658v1_genomic	NA	41	40	53.95	1.32	40	Yes
GCA_028276785.1_ASM2827678v1_genomic	NA	54	53	71.05	1.32	51	Yes
GCA_028276855.1_ASM2827685v1_genomic	NA	56	55	73.68	1.32	53	Yes
GCA_028279045.1_ASM2827904v1_genomic	NA	61	60	80.26	1.32	52	Yes
GCA_028279655.1_ASM2827965v1_genomic	NA	65	62	85.53	3.95	55	Yes
GCA_028279685.1_ASM2827968v1_genomic	NA	57	53	75.00	5.26	53	Yes
GCA_028279725.1_ASM2827972v1_genomic	NA	65	61	85.53	5.26	53	Yes
GCA_028279745.1_ASM2827974v1_genomic	NA	59	58	77.63	1.32	54	Yes
GCA_028279755.1_ASM2827975v1_genomic	NA	62	61	81.58	1.32	53	Yes
GCA_028279765.1_ASM2827976v1_genomic	NA	67	66	88.16	1.32	59	Yes
GCA_028686985.1_ASM2868698v1_genomic	NA	69	69	90.79	0.00	61	Yes
GCA_028690725.1_ASM2869072v1_genomic	NA	46	45	60.53	2.63	37	Yes
GCA_028691435.1_ASM2869143v1_genomic	NA	58	56	76.32	3.95	48	Yes
GCA_028691765.1_ASM2869176v1_genomic	NA	58	53	76.32	6.58	52	Yes
GCA_028693335.1_ASM2869333v1_genomic	NA	53	53	69.74	0.00	43	Yes
GCA_028693395.1_ASM2869339v1_genomic	NA	51	49	67.11	2.63	45	Yes
GCA_028700115.1_ASM2870011v1_genomic	NA	56	55	73.68	1.32	46	Yes
GCA_028700905.1_ASM2870090v1_genomic	NA	54	54	71.05	0.00	43	Yes
GCA_028701835.1_ASM2870183v1_genomic	NA	60	59	78.95	1.32	50	Yes
GCA_028702895.1_ASM2870289v1_genomic	NA	59	57	77.63	2.63	50	Yes
GCA_028704265.1_ASM2870426v1_genomic	NA	51	49	67.11	3.95	46	Yes
GCA_028706215.1_ASM2870621v1_genomic	NA	45	43	59.21	2.63	41	Yes
GCA_028706745.1_ASM2870674v1_genomic	NA	57	55	75.00	2.63	53	Yes
GCA_028708135.1_ASM2870813v1_genomic	NA	53	53	69.74	0.00	42	Yes
GCA_028710615.1_ASM2871061v1_genomic	NA	57	55	75.00	2.63	51	Yes
GCA_028710695.1_ASM2871069v1_genomic	NA	57	56	75.00	1.32	47	Yes
GCA_028711165.1_ASM2871116v1_genomic	NA	49	49	64.47	0.00	46	Yes
GCA_028711485.1_ASM2871148v1_genomic	NA	63	58	82.89	6.58	52	Yes
GCA_028711925.1_ASM2871192v1_genomic	NA	52	51	68.42	1.32	46	Yes
GCA_028712575.1_ASM2871257v1_genomic	NA	57	56	75.00	1.32	42	Yes
GCA_028713045.1_ASM2871304v1_genomic	NA	49	48	64.47	1.32	41	Yes
GCA_028713495.1_ASM2871349v1_genomic	NA	67	67	88.16	0.00	56	Yes
GCA_028713535.1_ASM2871353v1_genomic	NA	56	55	73.68	1.32	54	Yes
GCA_028713895.1_ASM2871389v1_genomic	NA	59	58	77.63	1.32	56	Yes
GCA_028713935.1_ASM2871393v1_genomic	NA	70	69	92.11	1.32	56	Yes
GCA_028714095.1_ASM2871409v1_genomic	NA	57	55	75.00	2.63	55	Yes
GCA_028714235.1_ASM2871423v1_genomic	NA	75	74	98.68	1.32	63	Yes
GCA_028714375.1_ASM2871437v1_genomic	NA	54	53	71.05	1.32	50	Yes
GCA_028714395.1_ASM2871439v1_genomic	NA	62	61	81.58	1.32	51	Yes
GCA_028714535.1_ASM2871453v1_genomic	NA	72	72	94.74	0.00	61	Yes
GCA_028715295.1_ASM2871529v1_genomic	NA	54	53	71.05	1.32	50	Yes
GCA_028716945.1_ASM2871694v1_genomic	NA	55	54	72.37	1.32	51	Yes
GCA_028717785.1_ASM2871778v1_genomic	NA	50	47	65.79	9.21	46	Yes
GCA_028718305.1_ASM2871830v1_genomic	NA	49	43	64.47	7.89	43	Yes
GCA_028718805.1_ASM2871880v1_genomic	NA	51	50	67.11	1.32	49	Yes
GCA_030017345.1_ASM3001734v1_genomic	NA	55	55	72.37	0.00	43	Yes
GCA_902385255.1_uncultured_DPANN_archaeon_LFW-252_1_genomic	NA	58	56	76.32	2.63	53	Yes
TARA_RED_MAG_00018.fa	NA	76	74	100.00	3.95	64	Yes
TARA_RED_MAG_00021.fa	NA	75	73	98.68	2.63	65	Yes
GCA_011040965.1_ASM1104096v1_genomic	NA	18	18	23.68	0.00	14	No
GCA_017999545.1_ASM1799954v1_genomic	NA	22	22	28.95	0.00	16	No
GCA_920984865.1_Q6268_genomic	NA	39	31	51.32	17.11	10	No
